customer_id,age,gender,tenure_months,monthly_charges,total_charges,contract_type,internet_service,payment_method,tech_support,online_security,senior_citizen,Churn
CUST00001,56,Male,48,59.04,,Two year,Fiber optic,Credit card,No,No,0,No
CUST00002,69,Male,2,107.17,199.58,Month-to-month,DSL,Electronic check,No,No,0,Yes
CUST00003,46,Male,44,70.03,2755,Month-to-month,No,Electronic check,No,Yes,0,No
CUST00004,32,Male,13,91.79,1196.25,Month-to-month,DSL,Bank transfer,No,No internet service,1,Yes
CUST00005,60,Female,29,28.62,795.53,Month-to-month,Fiber optic,Credit card,Yes,No,0,Yes
CUST00006,25,Female,67,40.99,2416.55,Month-to-month,Fiber optic,Bank transfer,No,Yes,0,No
CUST00007,38,,17,89.7,1412.27,Month-to-month,DSL,Electronic check,Yes,Yes,0,Yes
CUST00008,56,Female,61,23.39,1331.04,Two year,Fiber optic,Mailed check,No,No,0,No
CUST00009,75,Male,36,67.63,2436.54,Month-to-month,No,Credit card,,No internet service,0,No
CUST00010,36,Female,24,79.14,1622.31,Month-to-month,DSL,Electronic check,No,No internet service,0,Yes
CUST00011,40,Male,47,79.42,3373.67,Two year,No,Electronic check,No,,0,No
CUST00012,28,Female,64,20.34,1241.25,One year,Fiber optic,Mailed check,No,No internet service,0,No
CUST00013,28,Female,52,50.86,2390.22,Month-to-month,DSL,Electronic check,No internet service,Yes,0,Yes
CUST00014,41,Male,72,82.92,5825.08,One year,Fiber optic,Electronic check,No internet service,Yes,0,No
CUST00015,70,Female,14,33.2,439.87,Month-to-month,DSL,Credit card,No,No internet service,0,Yes
CUST00016,53,Male,48,88.93,3937.15,One year,Fiber optic,Credit card,No,No,0,No
CUST00017,57,Male,67,94.08,6554.5,One year,Fiber optic,Credit card,Yes,No,0,No
CUST00018,41,Male,11,118.16,1269.13,One year,No,Bank transfer,No,No,0,Yes
CUST00019,20,Male,58,39.4,2001.81,Month-to-month,No,Mailed check,Yes,No internet service,0,No
CUST00020,39,Female,36,102.16,3538.07,Two year,Fiber optic,Credit card,Yes,No,0,Yes
CUST00021,70,Female,60,71.07,4290.41,Month-to-month,Fiber optic,Bank transfer,No internet service,No internet service,0,No
CUST00022,19,Female,42,56.09,2336.22,Month-to-month,DSL,Bank transfer,No,No,1,No
CUST00023,41,Male,69,30.48,1860.04,Month-to-month,Fiber optic,Mailed check,No,Yes,0,Yes
CUST00024,61,Female,38,93.02,3692,Month-to-month,DSL,Mailed check,Yes,No internet service,0,Yes
CUST00025,47,Male,55,42.06,2173.95,Month-to-month,Fiber optic,Electronic check,No,Yes,0,No
CUST00026,55,Female,62,55.89,3055.61,Two year,Fiber optic,Bank transfer,Yes,No internet service,1,No
CUST00027,19,Female,45,24.38,972.07,Two year,DSL,Credit card,Yes,No,0,No
CUST00028,38,Female,10,99.74,867.39,Month-to-month,DSL,Mailed check,Yes,No,0,Yes
CUST00029,50,Male,61,96.19,5930.39,Month-to-month,Fiber optic,Bank transfer,No,No,1,Yes
CUST00030,29,Female,24,92.83,1948.11,Month-to-month,Fiber optic,Credit card,No,Yes,1,Yes
CUST00031,75,Female,70,48.54,2973.16,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,0,No
CUST00032,39,Male,51,35.69,1856.77,Month-to-month,Fiber optic,Mailed check,No,No internet service,0,No
CUST00033,61,Female,3,83.03,228.89,Two year,Fiber optic,Electronic check,Yes,No internet service,1,Yes
CUST00034,42,Male,58,68.61,3407.03,Month-to-month,Fiber optic,Bank transfer,No,No,0,No
CUST00035,66,Female,71,36.18,2210.12,Month-to-month,DSL,Credit card,No internet service,No internet service,0,Yes
CUST00036,44,Male,19,87.96,1468.07,Month-to-month,DSL,Mailed check,No,,0,No
CUST00037,59,Male,62,119.09,6591.16,Two year,Fiber optic,Electronic check,No internet service,No,0,No
CUST00038,45,Female,53,94.22,4908.91,One year,Fiber optic,Credit card,No internet service,Yes,0,No
CUST00039,33,Male,56,93.48,4614.36,Two year,DSL,Credit card,No,No internet service,0,No
CUST00040,32,Male,40,114.93,4016.92,One year,Fiber optic,Credit card,No,No,1,Yes
CUST00041,64,Male,2,,77.63,Month-to-month,DSL,Bank transfer,No internet service,No internet service,0,No
CUST00042,68,Male,5,75.69,372.47,Month-to-month,Fiber optic,Mailed check,No,No internet service,0,No
CUST00043,61,Male,4,117.92,441.99,One year,Fiber optic,Credit card,Yes,No internet service,0,No
CUST00044,72,Male,4,34.86,133.84,Month-to-month,Fiber optic,Bank transfer,No internet service,No,1,No
CUST00045,69,Female,53,89.43,4324.57,One year,No,Mailed check,No,Yes,0,No
CUST00046,74,Male,46,77.75,3385.16,Month-to-month,DSL,Mailed check,,No,0,No
CUST00047,20,Male,48,77.82,3553.58,Month-to-month,No,Bank transfer,No,No,0,Yes
CUST00048,54,Female,8,89.16,661.53,Month-to-month,Fiber optic,Bank transfer,No,Yes,0,Yes
CUST00049,68,Female,19,112.82,,One year,Fiber optic,Credit card,No,No,1,Yes
CUST00050,24,Female,60,97.82,5007.67,One year,Fiber optic,Mailed check,No,No,0,No
CUST00051,38,Female,34,23.73,812.01,Month-to-month,Fiber optic,Electronic check,No,No internet service,0,No
CUST00052,26,Female,49,104.98,4500.38,Month-to-month,Fiber optic,Bank transfer,No,Yes,0,Yes
CUST00053,,Female,61,41.01,2525.4,Month-to-month,Fiber optic,Mailed check,No,No,0,Yes
CUST00054,,Female,16,56.45,878.98,Month-to-month,DSL,Mailed check,No,Yes,0,Yes
CUST00055,21,Male,2,65.1,132.63,Month-to-month,DSL,Credit card,No,Yes,0,No
CUST00056,42,Male,31,67.05,1807.31,Month-to-month,Fiber optic,Electronic check,No,Yes,0,No
CUST00057,31,Female,12,62.39,720.08,Month-to-month,DSL,Credit card,No,No,0,Yes
CUST00058,67,Male,72,113.61,7772.7,Month-to-month,Fiber optic,Electronic check,No,Yes,0,Yes
CUST00059,75,Male,67,90.01,5977.83,Month-to-month,DSL,Electronic check,No internet service,No,0,No
CUST00060,26,Male,13,82.38,1024.74,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,0,Yes
CUST00061,43,Female,10,23.08,221.14,Month-to-month,No,Mailed check,Yes,No internet service,0,Yes
CUST00062,70,Female,55,110.2,5672.61,Month-to-month,No,Mailed check,No,No internet service,0,Yes
CUST00063,19,Male,66,110.76,6665.16,Month-to-month,Fiber optic,Mailed check,No internet service,No internet service,0,No
CUST00064,37,Female,28,97.58,2585.94,One year,Fiber optic,Electronic check,Yes,No internet service,1,No
CUST00065,45,Male,8,18.72,130.85,Month-to-month,No,Mailed check,Yes,No internet service,0,No
CUST00066,64,Male,66,23.84,1640,Month-to-month,Fiber optic,Bank transfer,Yes,No internet service,0,Yes
CUST00067,24,Male,24,40.97,976.28,Month-to-month,DSL,Electronic check,No,No,1,No
CUST00068,61,Male,41,31.4,1339.53,One year,No,,Yes,Yes,1,No
CUST00069,25,Female,8,58.68,420.31,Two year,Fiber optic,Electronic check,No,Yes,1,No
CUST00070,64,Female,39,112.11,4485.39,One year,Fiber optic,Electronic check,No,Yes,0,No
CUST00071,52,Female,24,66.15,1606.27,One year,DSL,Bank transfer,No internet service,No,0,No
CUST00072,31,Male,4,19.37,76.35,Month-to-month,DSL,Mailed check,No,No,0,Yes
CUST00073,34,Female,10,46.84,456.69,One year,No,Bank transfer,Yes,No internet service,0,Yes
CUST00074,53,Male,58,22.55,1194.52,One year,Fiber optic,Mailed check,No,No internet service,0,No
